dt,c,ma
2012-02-01D00:00:00.000000000,1.57555,
2012-02-01D00:15:00.000000000,1.57621,
2012-02-01D00:30:00.000000000,1.57612,
2012-02-01D00:45:00.000000000,1.57569,
2012-02-01D01:00:00.000000000,1.57607,
2012-02-01D01:15:00.000000000,1.57592,1.575925
2012-02-01D01:30:00.000000000,1.5756,1.575817
2012-02-01D01:45:00.000000000,1.57565,1.575761
2012-02-01D02:00:00.000000000,1.57603,1.575851
2012-02-01D02:15:00.000000000,1.57613,1.575944
2012-02-01D02:30:00.000000000,1.57562,1.575836
2012-02-01D02:45:00.000000000,1.57544,1.575704
2012-02-01D03:00:00.000000000,1.57544,1.575616
2012-02-01D03:15:00.000000000,1.57582,1.575684
2012-02-01D03:30:00.000000000,1.57569,1.575686
2012-02-01D03:45:00.000000000,1.57553,1.575634
2012-02-01D04:00:00.000000000,1.57564,1.575636
2012-02-01D04:15:00.000000000,1.57577,1.575681
2012-02-01D04:30:00.000000000,1.57568,1.57568
2012-02-01D04:45:00.000000000,1.5754,1.575587
2012-02-01D05:00:00.000000000,1.57537,1.575515
2012-02-01D05:15:00.000000000,1.57493,1.57532
2012-02-01D05:30:00.000000000,1.57497,1.575203
2012-02-01D05:45:00.000000000,1.57484,1.575082
2012-02-01D06:00:00.000000000,1.57502,1.575061
2012-02-01D06:15:00.000000000,1.57374,1.574621
2012-02-01D06:30:00.000000000,1.57413,1.574457
2012-02-01D06:45:00.000000000,1.57297,1.573962
2012-02-01D07:00:00.000000000,1.57248,1.573468
2012-02-01D07:15:00.000000000,1.57147,1.572802
2012-02-01D07:30:00.000000000,1.572,1.572535
2012-02-01D07:45:00.000000000,1.57267,1.57258
2012-02-01D08:00:00.000000000,1.5734,1.572853
2012-02-01D08:15:00.000000000,1.57379,1.573165
2012-02-01D08:30:00.000000000,1.57455,1.573627
2012-02-01D08:45:00.000000000,1.5751,1.574118
2012-02-01D09:00:00.000000000,1.57774,1.575325
2012-02-01D09:15:00.000000000,1.57841,1.576354
2012-02-01D09:30:00.000000000,1.57798,1.576896
2012-02-01D09:45:00.000000000,1.5759,1.576564
2012-02-01D10:00:00.000000000,1.57499,1.576039
2012-02-01D10:15:00.000000000,1.57545,1.575843
2012-02-01D10:30:00.000000000,1.57534,1.575675
2012-02-01D10:45:00.000000000,1.57579,1.575713
2012-02-01D11:00:00.000000000,1.57589,1.575772
2012-02-01D11:15:00.000000000,1.57517,1.575572
2012-02-01D11:30:00.000000000,1.57773,1.576291
2012-02-01D11:45:00.000000000,1.57824,1.576941
2012-02-01D12:00:00.000000000,1.57784,1.57724
2012-02-01D12:15:00.000000000,1.57964,1.57804
2012-02-01D12:30:00.000000000,1.58514,1.580407
2012-02-01D12:45:00.000000000,1.58527,1.582028
2012-02-01D13:00:00.000000000,1.58492,1.582992
2012-02-01D13:15:00.000000000,1.58441,1.583465
2012-02-01D13:30:00.000000000,1.58427,1.583733
2012-02-01D13:45:00.000000000,1.58358,1.583682
2012-02-01D14:00:00.000000000,1.58285,1.583405
2012-02-01D14:15:00.000000000,1.58373,1.583513
2012-02-01D14:30:00.000000000,1.58307,1.583365
2012-02-01D14:45:00.000000000,1.58396,1.583564
2012-02-01D15:00:00.000000000,1.58462,1.583916
2012-02-01D15:15:00.000000000,1.58509,1.584307
2012-02-01D15:30:00.000000000,1.5849,1.584505
2012-02-01D15:45:00.000000000,1.58578,1.58493
2012-02-01D16:00:00.000000000,1.58681,1.585557
2012-02-01D16:15:00.000000000,1.58475,1.585288
2012-02-01D16:30:00.000000000,1.5854,1.585325
2012-02-01D16:45:00.000000000,1.58516,1.58527
2012-02-01D17:00:00.000000000,1.58535,1.585297
2012-02-01D17:15:00.000000000,1.58495,1.585181
2012-02-01D17:30:00.000000000,1.58438,1.584914
2012-02-01D17:45:00.000000000,1.58455,1.584793
2012-02-01D18:00:00.000000000,1.5851,1.584895
2012-02-01D18:15:00.000000000,1.58423,1.584673
2012-02-01D18:30:00.000000000,1.58364,1.584329
2012-02-01D18:45:00.000000000,1.58409,1.584249
2012-02-01D19:00:00.000000000,1.58352,1.584006
2012-02-01D19:15:00.000000000,1.5834,1.583804
2012-02-01D19:30:00.000000000,1.5832,1.583603
2012-02-01D19:45:00.000000000,1.58333,1.583512
2012-02-01D20:00:00.000000000,1.58363,1.583551
2012-02-01D20:15:00.000000000,1.58269,1.583264
2012-02-01D20:30:00.000000000,1.58302,1.583183
2012-02-01D20:45:00.000000000,1.58274,1.583035
2012-02-01D21:00:00.000000000,1.58286,1.582977
2012-02-01D21:15:00.000000000,1.58314,1.583031
2012-02-01D21:30:00.000000000,1.58354,1.583201
2012-02-01D21:45:00.000000000,1.58326,1.583221
2012-02-01D22:00:00.000000000,1.58411,1.583517
2012-02-01D22:15:00.000000000,1.584,1.583678
2012-02-01D22:30:00.000000000,1.58411,1.583822
2012-02-01D22:45:00.000000000,1.5844,1.584015
2012-02-01D23:00:00.000000000,1.58389,1.583973
2012-02-01D23:15:00.000000000,1.58447,1.584139
2012-02-01D23:30:00.000000000,1.58409,1.584122
2012-02-01D23:45:00.000000000,1.58449,1.584245
2012-02-02D00:00:00.000000000,1.58453,1.58434
2012-02-02D00:15:00.000000000,1.58407,1.58425
2012-02-02D00:30:00.000000000,1.58518,1.58456
2012-02-02D00:45:00.000000000,1.58506,1.584727
2012-02-02D01:00:00.000000000,1.58549,1.584981
2012-02-02D01:15:00.000000000,1.58574,1.585234
2012-02-02D01:30:00.000000000,1.58499,1.585153
2012-02-02D01:45:00.000000000,1.58507,1.585125
2012-02-02D02:00:00.000000000,1.58467,1.584973
2012-02-02D02:15:00.000000000,1.58519,1.585046
2012-02-02D02:30:00.000000000,1.58497,1.58502
2012-02-02D02:45:00.000000000,1.58488,1.584974
2012-02-02D03:00:00.000000000,1.58541,1.585119
2012-02-02D03:15:00.000000000,1.58523,1.585156
2012-02-02D03:30:00.000000000,1.58529,1.585201
2012-02-02D03:45:00.000000000,1.58527,1.585224
2012-02-02D04:00:00.000000000,1.58493,1.585126
2012-02-02D04:15:00.000000000,1.58497,1.585074
2012-02-02D04:30:00.000000000,1.58449,1.584879
2012-02-02D04:45:00.000000000,1.58437,1.58471
2012-02-02D05:00:00.000000000,1.58432,1.58458
2012-02-02D05:15:00.000000000,1.58432,1.584493
2012-02-02D05:30:00.000000000,1.58401,1.584332
2012-02-02D05:45:00.000000000,1.58434,1.584335
2012-02-02D06:00:00.000000000,1.58432,1.58433
2012-02-02D06:15:00.000000000,1.58506,1.584573
2012-02-02D06:30:00.000000000,1.58444,1.584529
2012-02-02D06:45:00.000000000,1.58467,1.584576
2012-02-02D07:00:00.000000000,1.58351,1.584221
2012-02-02D07:15:00.000000000,1.58442,1.584287
2012-02-02D07:30:00.000000000,1.58391,1.584161
2012-02-02D07:45:00.000000000,1.58362,1.583981
